"Time","Goodput","Average Delay","# of consumers"
2022-11-14 17:23:40,,,1
2022-11-14 17:23:49,370.624 Mb/s,40.727 ms,
2022-11-14 17:23:50,459.136 Mb/s,215.407 ms,1
2022-11-14 17:23:51,506.176 Mb/s,445.900 ms,
2022-11-14 17:23:52,371.456 Mb/s,665.682 ms,
2022-11-14 17:23:53,727.808 Mb/s,743.488 ms,
2022-11-14 17:23:54,1.186 Gb/s,522.557 ms,
2022-11-14 17:23:55,1.252 Gb/s,373.797 ms,
2022-11-14 17:23:56,915.264 Mb/s,300.296 ms,
2022-11-14 17:23:57,1.184 Gb/s,254.743 ms,
2022-11-14 17:23:58,1.066 Gb/s,219.651 ms,
2022-11-14 17:23:59,933.248 Mb/s,197.109 ms,
2022-11-14 17:24:00,1.083 Gb/s,179.047 ms,25
2022-11-14 17:24:01,24.867 Gb/s,18.658 ms,
2022-11-14 17:24:02,53.254 Gb/s,10.144 ms,
2022-11-14 17:24:03,66.864 Gb/s,9.633 ms,
2022-11-14 17:24:04,70.584 Gb/s,9.107 ms,
2022-11-14 17:24:05,67.264 Gb/s,9.522 ms,
2022-11-14 17:24:06,68.773 Gb/s,9.464 ms,
2022-11-14 17:24:07,74.261 Gb/s,7.129 ms,
2022-11-14 17:24:08,82.327 Gb/s,5.817 ms,
2022-11-14 17:24:09,74.250 Gb/s,4.185 ms,
2022-11-14 17:24:10,83.071 Gb/s,3.780 ms,18
2022-11-14 17:24:11,75.263 Gb/s,3.628 ms,
2022-11-14 17:24:12,80.533 Gb/s,3.344 ms,
2022-11-14 17:24:13,75.001 Gb/s,3.318 ms,
2022-11-14 17:24:14,80.587 Gb/s,2.985 ms,
2022-11-14 17:24:15,79.059 Gb/s,2.714 ms,
2022-11-14 17:24:16,83.704 Gb/s,2.665 ms,
2022-11-14 17:24:17,77.564 Gb/s,2.665 ms,
2022-11-14 17:24:18,87.211 Gb/s,2.508 ms,
2022-11-14 17:24:19,79.620 Gb/s,2.404 ms,
2022-11-14 17:24:20,77.316 Gb/s,2.307 ms,18
2022-11-14 17:24:21,78.656 Gb/s,2.229 ms,
2022-11-14 17:24:22,11.788 Gb/s,2.218 ms,
2022-11-14 17:25:30,1.096 Gb/s,0.375 ms,1
2022-11-14 17:25:31,2.785 Gb/s,0.000 ms,
2022-11-14 17:25:32,3.064 Gb/s,0.102 ms,
2022-11-14 17:25:33,3.203 Gb/s,0.000 ms,
2022-11-14 17:25:34,3.760 Gb/s,0.000 ms,
2022-11-14 17:25:35,4.456 Gb/s,0.000 ms,
2022-11-14 17:25:36,637.762 Mb/s,0.000 ms,
2022-11-14 17:49:40,,,16
2022-11-14 17:49:41,2.140 Gb/s,4.874 ms,
2022-11-14 17:49:42,28.395 Gb/s,2.623 ms,
2022-11-14 17:49:43,29.224 Gb/s,2.480 ms,
2022-11-14 17:49:44,28.594 Gb/s,2.637 ms,
2022-11-14 17:49:45,29.400 Gb/s,2.394 ms,
2022-11-14 17:49:46,57.336 Gb/s,2.229 ms,
2022-11-14 17:49:47,71.168 Gb/s,1.640 ms,
2022-11-14 17:49:48,65.634 Gb/s,1.294 ms,
2022-11-14 17:49:49,71.050 Gb/s,1.235 ms,
2022-11-14 17:49:50,69.792 Gb/s,1.084 ms,16
2022-11-14 17:49:51,73.155 Gb/s,0.988 ms,
2022-11-14 17:49:52,73.385 Gb/s,0.915 ms,
2022-11-14 17:49:53,73.543 Gb/s,0.816 ms,
2022-11-14 17:49:54,60.708 Gb/s,0.967 ms,
2022-11-14 17:49:55,68.105 Gb/s,0.840 ms,
2022-11-14 17:49:56,76.091 Gb/s,0.681 ms,
2022-11-14 17:49:57,70.021 Gb/s,0.681 ms,
2022-11-14 17:49:58,69.429 Gb/s,0.647 ms,
2022-11-14 17:49:59,70.429 Gb/s,0.594 ms,
2022-11-14 17:50:00,62.770 Gb/s,0.702 ms,16
2022-11-14 17:50:01,62.677 Gb/s,0.742 ms,
2022-11-14 17:50:02,71.129 Gb/s,0.648 ms,
2022-11-14 17:50:03,68.863 Gb/s,0.627 ms,
2022-11-14 17:50:04,69.694 Gb/s,0.654 ms,
2022-11-14 17:50:05,56.377 Gb/s,0.630 ms,
2022-11-14 17:50:06,69.067 Gb/s,0.613 ms,
2022-11-14 17:50:07,76.802 Gb/s,0.619 ms,
2022-11-14 17:50:08,74.314 Gb/s,0.656 ms,
2022-11-14 17:50:09,66.734 Gb/s,0.572 ms,
2022-11-14 17:50:10,74.174 Gb/s,0.553 ms,16
2022-11-14 17:50:11,60.856 Gb/s,0.496 ms,
2022-11-14 17:50:12,74.526 Gb/s,0.524 ms,
2022-11-14 17:50:13,72.601 Gb/s,0.446 ms,
2022-11-14 17:50:14,71.057 Gb/s,0.465 ms,
2022-11-14 17:50:15,73.660 Gb/s,0.459 ms,
2022-11-14 17:50:16,65.677 Gb/s,0.432 ms,
2022-11-14 17:50:17,67.600 Gb/s,0.464 ms,
2022-11-14 17:50:18,71.700 Gb/s,0.545 ms,
2022-11-14 17:50:19,61.648 Gb/s,0.541 ms,
2022-11-14 17:50:20,56.270 Gb/s,0.633 ms,13
2022-11-14 17:50:21,64.754 Gb/s,0.547 ms,
2022-11-14 17:50:22,65.482 Gb/s,0.458 ms,
2022-11-14 17:50:23,42.107 Gb/s,0.463 ms,
2022-11-14 17:50:24,48.676 Gb/s,0.511 ms,
2022-11-14 17:50:25,45.340 Gb/s,0.579 ms,
2022-11-14 17:50:26,35.268 Gb/s,0.842 ms,
2022-11-14 17:50:27,29.453 Gb/s,0.858 ms,
2022-11-14 17:50:28,18.221 Gb/s,1.000 ms,
2022-11-14 17:50:29,11.593 Gb/s,1.000 ms,
2022-11-14 17:50:30,5.063 Gb/s,1.000 ms,1
2022-11-14 17:50:31,4.464 Gb/s,1.000 ms,
2022-11-14 17:50:50,,,16
2022-11-14 17:50:54,3.821 Gb/s,13.678 ms,
2022-11-14 17:50:55,72.085 Gb/s,5.796 ms,
2022-11-14 17:50:56,70.277 Gb/s,1.962 ms,
2022-11-14 17:50:57,69.806 Gb/s,1.300 ms,
2022-11-14 17:50:58,68.689 Gb/s,1.258 ms,
2022-11-14 17:50:59,67.735 Gb/s,1.229 ms,
2022-11-14 17:51:00,68.495 Gb/s,1.230 ms,16
2022-11-14 17:51:01,68.168 Gb/s,1.062 ms,
2022-11-14 17:51:02,71.611 Gb/s,1.034 ms,
2022-11-14 17:51:03,73.915 Gb/s,0.979 ms,
2022-11-14 17:51:04,75.177 Gb/s,0.965 ms,
2022-11-14 17:51:05,71.321 Gb/s,0.862 ms,
2022-11-14 17:51:06,72.543 Gb/s,0.948 ms,
2022-11-14 17:51:07,73.016 Gb/s,0.937 ms,
2022-11-14 17:51:08,71.341 Gb/s,0.905 ms,
2022-11-14 17:51:09,74.882 Gb/s,0.881 ms,
2022-11-14 17:51:10,67.806 Gb/s,1.024 ms,16
2022-11-14 17:51:11,72.787 Gb/s,1.042 ms,
2022-11-14 17:51:12,65.200 Gb/s,1.102 ms,
2022-11-14 17:51:13,73.552 Gb/s,1.022 ms,
2022-11-14 17:51:14,71.889 Gb/s,0.954 ms,
2022-11-14 17:51:15,69.732 Gb/s,0.963 ms,
2022-11-14 17:51:16,73.513 Gb/s,0.982 ms,
2022-11-14 17:51:17,72.701 Gb/s,0.952 ms,
2022-11-14 17:51:18,78.117 Gb/s,0.947 ms,
2022-11-14 17:51:19,71.854 Gb/s,0.900 ms,
2022-11-14 17:51:20,73.517 Gb/s,0.939 ms,16
2022-11-14 17:51:21,72.275 Gb/s,0.912 ms,
2022-11-14 17:51:22,70.686 Gb/s,0.932 ms,
2022-11-14 17:51:23,78.354 Gb/s,0.909 ms,
2022-11-14 17:51:24,76.205 Gb/s,0.875 ms,
2022-11-14 17:51:25,73.495 Gb/s,0.960 ms,
2022-11-14 17:51:26,72.222 Gb/s,0.982 ms,
2022-11-14 17:51:27,74.987 Gb/s,0.940 ms,
2022-11-14 17:51:28,74.227 Gb/s,0.798 ms,
2022-11-14 17:51:29,78.659 Gb/s,0.837 ms,
2022-11-14 17:51:30,72.743 Gb/s,0.780 ms,16
2022-11-14 17:51:31,69.717 Gb/s,0.776 ms,
2022-11-14 17:51:32,71.018 Gb/s,0.842 ms,
2022-11-14 17:51:33,76.030 Gb/s,0.885 ms,
2022-11-14 17:51:34,78.921 Gb/s,0.760 ms,
2022-11-14 17:51:35,76.334 Gb/s,0.705 ms,
2022-11-14 17:51:36,66.973 Gb/s,0.699 ms,
2022-11-14 17:51:37,71.965 Gb/s,0.738 ms,
2022-11-14 17:51:38,76.771 Gb/s,0.743 ms,
